sample_id;Biological repeat;PCR_repeat;Type;Lab_id;PCR_id;Bio_rep;Bergen_id;Field_id;Cave;X_coord;Y_coord;Layer_no;Layer;Group
BBY002BR2_2_s_2;2;2;Bulk bone;BBY002;BBY002BR2_2;BBY002BR2;Id.4, 6-8, 17-27;B-GR-YA1018, B-GR-YA10X1;NY;106;201;A1;A;Mammal
BBY002BR2_s_1;2;1;Bulk bone;BBY002;BBY002BR2_1;BBY002BR2;Id.4, 6-8, 17-27;B-GR-YA1018, B-GR-YA10X1;NY;106;201;A1;A;Mammal
BBY003BR1_2_s_2;1;2;Bulk bone;BBY003;BBY003BR1_2;BBY003BR1;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR1_s_1;1;1;Bulk bone;BBY003;BBY003BR1_1;BBY003BR1;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR2_2_s_2;2;2;Bulk bone;BBY003;BBY003BR2_2;BBY003BR2;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR2_s_1;2;1;Bulk bone;BBY003;BBY003BR2_1;BBY003BR2;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR3_2_s_2;3;2;Bulk bone;BBY003;BBY003BR3_2;BBY003BR3;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY003BR3_s_1;3;1;Bulk bone;BBY003;BBY003BR3_1;BBY003BR3;Id.2, 31;B-GR-YA1006, B-GR-YA10X1;NY;106;201;A1;A;Unidentified
BBY006BR1_2_s_2;3;2;Bulk bone;BBY002;BBY006BR1_2;BBY006BR1;Id.4, 6-8, 17-27;B-GR-YA1018, B-GR-YA10X1;NY;106;201;B1;B;Mammal
BBY006BR2_2_s_2;2;2;Bulk bone;BBY006;BBY006BR2_2;BBY006BR2;Id. 69, 70, 76-80, 37-53, 59-62;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Mammal
BBY006BR2_s_1;2;1;Bulk bone;BBY006;BBY006BR2_1;BBY006BR2;Id. 69, 70, 76-80, 37-53, 59-62;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Mammal
BBY006BR3_2_s_2;3;2;Bulk bone;BBY006;BBY006BR3_2;BBY006BR3;Id. 69, 70, 76-80, 37-53, 59-62;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Mammal
BBY006BR3_s_1;3;1;Bulk bone;BBY006;BBY006BR3_1;BBY006BR3;Id. 69, 70, 76-80, 37-53, 59-62;B-GR-YB1012, B-GR-YB10X1, B-GR-YB1011, B-GR-YB1005;NY;106;201;B1;B;Mammal
BBY007BR1_2_s_2;1;2;Bulk bone;BBY007;BBY007BR1_2;BBY007BR1;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR1_s_1;1;1;Bulk bone;BBY007;BBY007BR1_1;BBY007BR1;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR2_2_s_2;2;2;Bulk bone;BBY007;BBY007BR2_2;BBY007BR2;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR2_s_1;2;1;Bulk bone;BBY007;BBY007BR2_1;BBY007BR2;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR3_2_s_2;3;2;Bulk bone;BBY007;BBY007BR3_2;BBY007BR3;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY007BR3_s_1;3;1;Bulk bone;BBY007;BBY007BR3_1;BBY007BR3;Id. 32;B-GR-YB1011;NY;106;201;B1;B;Unidentified
BBY010BR2_2_s_2;2;2;Bulk bone;BBY010;BBY010BR2_2;BBY010BR2;Id. 107-109, 111-120, 133-139, 142-146, 150-155, 157, 168-170, 173-185;B-GR-YB2013, B-GR-YB2014, B-GR-YB2011, B-GR-YB2012;NY;106;201;B2;B;Mammal
BBY010BR2_s_1;2;1;Bulk bone;BBY010;BBY010BR2_1;BBY010BR2;Id. 107-109, 111-120, 133-139, 142-146, 150-155, 157, 168-170, 173-185;B-GR-YB2013, B-GR-YB2014, B-GR-YB2011, B-GR-YB2012;NY;106;201;B2;B;Mammal
BBY010BR3_2_s_2;3;2;Bulk bone;BBY010;BBY010BR3_2;BBY010BR3;Id. 107-109, 111-120, 133-139, 142-146, 150-155, 157, 168-170, 173-185;B-GR-YB2013, B-GR-YB2014, B-GR-YB2011, B-GR-YB2012;NY;106;201;B2;B;Mammal
BBY010BR3_s_1;3;1;Bulk bone;BBY010;BBY010BR3_1;BBY010BR3;Id. 107-109, 111-120, 133-139, 142-146, 150-155, 157, 168-170, 173-185;B-GR-YB2013, B-GR-YB2014, B-GR-YB2011, B-GR-YB2012;NY;106;201;B2;B;Mammal
BBY011BR1_2_s_2;1;2;Bulk bone;BBY011;BBY011BR1_2;BBY011BR1;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR1_s_1;1;1;Bulk bone;BBY011;BBY011BR1_1;BBY011BR1;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR2_2_s_2;2;2;Bulk bone;BBY011;BBY011BR2_2;BBY011BR2;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR2_s_1;2;1;Bulk bone;BBY011;BBY011BR2_1;BBY011BR2;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR3_2_s_2;3;2;Bulk bone;BBY011;BBY011BR3_2;BBY011BR3;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY011BR3_s_1;3;1;Bulk bone;BBY011;BBY011BR3_1;BBY011BR3;Id. 158, ?;B-GR-YB012, B-GR-YB2011;NY;106;201;B2;B;Unidentified
BBY014BR1_s_1;1;1;Bulk bone;BBY014;BBY014BR1_1;BBY014BR1;Id. 202, 203, 208-209, 211-216, 230, 234-236, 238, 239;B-GR-YB3001, B-GR-YB3002, B-GR-YB3003;NY;106;201;B3;B;Mammal
BBY014BR2_2_s_2;2;2;Bulk bone;BBY014;BBY014BR2_2;BBY014BR2;Id. 202, 203, 208-209, 211-216, 230, 234-236, 238, 239;B-GR-YB3001, B-GR-YB3002, B-GR-YB3003;NY;106;201;B3;B;Mammal
BBY014BR2_s_1;2;1;Bulk bone;BBY014;BBY014BR2_1;BBY014BR2;Id. 202, 203, 208-209, 211-216, 230, 234-236, 238, 239;B-GR-YB3001, B-GR-YB3002, B-GR-YB3003;NY;106;201;B3;B;Mammal
BBY015BR1_2_s_2;1;2;Bulk bone;BBY015;BBY015BR1_2;BBY015BR1;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR1_s_1;1;1;Bulk bone;BBY015;BBY015BR1_1;BBY015BR1;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR2_2_s_2;2;2;Bulk bone;BBY015;BBY015BR2_2;BBY015BR2;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR2_s_1;2;1;Bulk bone;BBY015;BBY015BR2_1;BBY015BR2;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR3_2_s_2;3;2;Bulk bone;BBY015;BBY015BR3_2;BBY015BR3;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY015BR3_s_1;3;1;Bulk bone;BBY015;BBY015BR3_1;BBY015BR3;Id. 205, 262;B-GR-YB3001, B-GR-YB3002;NY;106;201;B3;B;Unidentified
BBY016BR1_2_s_2;1;2;Bulk bone;BBY016;BBY016BR1_2;BBY016BR1;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR1_s_1;1;1;Bulk bone;BBY016;BBY016BR1_1;BBY016BR1;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR2_2_s_2;2;2;Bulk bone;BBY016;BBY016BR2_2;BBY016BR2;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR2_s_1;2;1;Bulk bone;BBY016;BBY016BR2_1;BBY016BR2;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR3_2_s_2;3;2;Bulk bone;BBY016;BBY016BR3_2;BBY016BR3;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY016BR3_s_1;3;1;Bulk bone;BBY016;BBY016BR3_1;BBY016BR3;Id. 218, ?;B-GR-YB3001, B-GR-YB3003;NY;106;201;B3;B;Unidentified
BBY019_2_s_2;1;2;Bulk bone;BBY019;BBY019_2;BBY019NBR;Id. 255-257, 259;B-GR-YC1005;NY;106;201;C1;C;Mammal
BBY020_2_s_2;1;2;Bulk bone;BBY020;BBY020_2;BBY020NBR;Id. 261;B-GR-YC2001;NY;106;201;C1;C;Unidentified
BBY020_s_1;1;1;Bulk bone;BBY020;BBY020_1;BBY020NBR;Id. 261;B-GR-YC2001;NY;106;201;C1;C;Unidentified